FULLNAME;TICKER
BORUTA.xlsx;bru_y.xlsx
BORYSZEW.xlsx;brs_y.xlsx
BOS.xlsx;bos_y.xlsx
BOWIM.xlsx;bow_y.xlsx
BPH.xlsx;bph_y.xlsx
BRASTER.xlsx;bra_y.xlsx
BRIJU.xlsx;bri_y.xlsx
BROADGAT.xlsx;bdg_y.xlsx
BSCDRUK.xlsx;bsc_y.xlsx
BSK.xlsx;ing_y.xlsx
BUDIMEX.xlsx;bdx_y.xlsx
BUDOPOL.xlsx;bdl_y.xlsx
BUMECH.xlsx;bmc_y.xlsx
BUWOG.xlsx;bwo_y.xlsx
BVT.xlsx;bvt_y.xlsx
BYTOM.xlsx;btm_y.xlsx
BZ_WBK.xlsx;bzw_y.xlsx
CALATRAV.xlsx;ctc_y.xlsx
CALES.xlsx;cls_y.xlsx
CALLCENT.xlsx;cct_y.xlsx
CAPITALP.xlsx;cpa_y.xlsx
CAPPARK.xlsx;cpg_y.xlsx
CASHFLOW.xlsx;cfl_y.xlsx
CASPARAM.xlsx;csr_y.xlsx
CCC.xlsx;ccc_y.xlsx
CCENERGY.xlsx;cce_y.xlsx
CDPROJEK.xlsx;cdr_y.xlsx
CDRL.xlsx;cdl_y.xlsx
CELPRODE.xlsx;cpd_y.xlsx
CENNOWTE.xlsx;cnt_y.xlsx
CENTURIO.xlsx;ctf_y.xlsx
CERABUD.xlsx;cer_y.xlsx
CEREAL.xlsx;crp_y.xlsx
CEZ.xlsx;cez_y.xlsx
CFBPS.xlsx;cfb_y.xlsx
CFIHOL.xlsx;cfi_y.xlsx
CHEMOSER.xlsx;chs_y.xlsx
CIECH.xlsx;cie_y.xlsx
CIGAMES.xlsx;cig_y.xlsx
CITYSERV.xlsx;cts_y.xlsx
CLOUDTEC.xlsx;cld_y.xlsx
COALENER.xlsx;cle_y.xlsx
COGNOR.xlsx;cog_y.xlsx
COLIAN.xlsx;col_y.xlsx
COLOMED.xlsx;clo_y.xlsx
COLUMBUS.xlsx;clc_y.xlsx
COMARCH.xlsx;cmr_y.xlsx
COMECO.xlsx;cmc_y.xlsx
COMPERIA.xlsx;cpl_y.xlsx
COMPLEX.xlsx;rwd_y.xlsx
COMPRESS.xlsx;com_y.xlsx
COMP_W.xlsx;cmp_y.xlsx
COPSEC.xlsx;crs_y.xlsx
CORELENS.xlsx;cor_y.xlsx
CORMAY.xlsx;crm_y.xlsx
CSY.xlsx;csy_y.xlsx
CTE.xlsx;cte_y.xlsx
CTOREBKA.xlsx;czt_y.xlsx
CUBEITG.xlsx;ctg_y.xlsx
CWPE.xlsx;cwp_y.xlsx
CYFPOLS.xlsx;cps_y.xlsx
CYFROWCS.xlsx;ccs_y.xlsx
DANKS.xlsx;dns_y.xlsx
DASEFIN.xlsx;dfg_y.xlsx
DEBICA.xlsx;dbc_y.xlsx
DECORA.xlsx;dcr_y.xlsx
DEKPOL.xlsx;dek_y.xlsx
DEKTRA.xlsx;dkr_y.xlsx
DELKO.xlsx;del_y.xlsx
DEMOLEN.xlsx;dem_y.xlsx
DENTAMED.xlsx;dam_y.xlsx
DEPEND.xlsx;dep_y.xlsx
DEVORAN.xlsx;dev_y.xlsx
DGA.xlsx;dga_y.xlsx
DIGATE.xlsx;dgt_y.xlsx
DIGITAL.xlsx;dgl_y.xlsx
DOMDEVEL.xlsx;dom_y.xlsx
DOMEN.xlsx;doa_y.xlsx
DOMEXBUD.xlsx;bpx_y.xlsx
DOMLEK.xlsx;dlk_y.xlsx
DORADCY.xlsx;d24_y.xlsx
DREWEX.xlsx;dre_y.xlsx
DROP.xlsx;drp_y.xlsx
DROZAPOL.xlsx;dpl_y.xlsx
DSS.xlsx;dss_y.xlsx
DTPSA.xlsx;dtp_y.xlsx
DUDA.xlsx;dud_y.xlsx
DUON.xlsx;duo_y.xlsx
DYWILAN.xlsx;dyw_y.xlsx
EASTPICT.xlsx;eap_y.xlsx
EASTSIDE.xlsx;esc_y.xlsx
EASYCALL.xlsx;ecl_y.xlsx
EBCSOLIC.xlsx;ebc_y.xlsx
EC2.xlsx;ec2_y.xlsx
ECA.xlsx;eca_y.xlsx
ECARD.xlsx;ecd_y.xlsx
ECHO.xlsx;ech_y.xlsx
ECOTECH.xlsx;eco_y.xlsx
EDINV.xlsx;edi_y.xlsx
EDISON.xlsx;edn_y.xlsx
EFEKT.xlsx;efk_y.xlsx
EFENERGI.xlsx;efe_y.xlsx
EFH.xlsx;efh_y.xlsx
EFICOM.xlsx;efi_y.xlsx
EFIX.xlsx;efx_y.xlsx
EGBINV.xlsx;egb_y.xlsx
EKANCELA.xlsx;eka_y.xlsx
EKIOSK.xlsx;eks_y.xlsx
EKOBOX.xlsx;ebx_y.xlsx
EKOKOGEN.xlsx;ekg_y.xlsx
EKOPOL.xlsx;egh_y.xlsx
EKO_EXP.xlsx;eex_y.xlsx
ELBUDOWA.xlsx;elb_y.xlsx
ELEHOLD.xlsx;emt_y.xlsx
ELEKTROT.xlsx;elt_y.xlsx
ELKOP.xlsx;ekp_y.xlsx
ELZAB.xlsx;elz_y.xlsx
EMC.xlsx;emc_y.xlsx
EMMER.xlsx;emm_y.xlsx
EMMERCAP.xlsx;gem_y.xlsx
EMONT.xlsx;elm_y.xlsx
EMPERIA.xlsx;emp_y.xlsx
EMUZYKA.xlsx;emu_y.xlsx
ENEA.xlsx;ena_y.xlsx
ENEFI.xlsx;est_y.xlsx
ENELMED.xlsx;ene_y.xlsx
ENERGA.xlsx;eng_y.xlsx
ENERGOAP.xlsx;enp_y.xlsx
ENERGOIN.xlsx;eni_y.xlsx
ENTER.xlsx;enta_y.xlsx
EONET.xlsx;eon_y.xlsx
EPIGON.xlsx;epi_y.xlsx
EQUITIER.xlsx;etr_y.xlsx
ERBUD.xlsx;erb_y.xlsx
ERG.xlsx;erg_y.xlsx
ERNE.xlsx;ern_y.xlsx
ESKIMO.xlsx;esk_y.xlsx
ESOTIQ.xlsx;eah_y.xlsx
ESPEROTI.xlsx;eei_y.xlsx
ESSYSTEM.xlsx;ess_y.xlsx
ETOS.xlsx;ets_ipo_y.xlsx
EUCO.xlsx;euc_y.xlsx
EUROCASH.xlsx;eur_y.xlsx
EUROCENT.xlsx;erc_y.xlsx
EUROFILM.xlsx;egs_y.xlsx
EUROHOLD.xlsx;ehg_y.xlsx
EUROIMPL.xlsx;eui_y.xlsx
EUROSNAC.xlsx;eck_y.xlsx
EUROSYS.xlsx;ers_y.xlsx
EUROTAX.xlsx;etx_y.xlsx
EUROTEL.xlsx;etl_y.xlsx
EVEREST.xlsx;eve_y.xlsx
EXAMOBIL.xlsx;exa_y.xlsx
EXCELLEN.xlsx;exc_y.xlsx
EXILLON.xlsx;exl_y.xlsx
EXORIGO.xlsx;geu_y.xlsx
EZOSA.xlsx;ezo_y.xlsx
FABRYKA.xlsx;ffo_y.xlsx
